saved_at,track_id,track_name,album,album_date,artists
2025-04-28T17:20:58Z,4RoKNqyZ9622tcAeNPNv5k,City Boys,I Told Them...,2023-08-24,Burna Boy
2025-04-28T17:20:15Z,4v5kAh2wWyCSuKuhMJK8u6,Long Way 2 Go,Cassie (U.S. Version),2006-08-07,Cassie
2025-04-27T16:45:15Z,4LMlVCXHJtCE9abhmn0mYo,Pal Pal,Pal Pal,2025-02-17,"Afusic, AliSoomroMusic"
2025-04-24T03:22:48Z,2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,Toto Cutugno
2025-04-17T19:18:17Z,5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,Shubh
2025-04-10T06:01:59Z,1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Dancing With Your Ghost,2019-06-28,Sasha Alex Sloan
2025-04-05T20:43:11Z,0l1ANIJeVg43nyJLOEl7NP,ALL EYES,Project YVL,2024-05-31,"TWXN, LL Clawz, 507KAZ"
2025-04-03T19:40:49Z,0qQ4IdhjzNr0gJhdMTf2n3,"O Maahi (From ""Dunki"")","O Maahi (From ""Dunki"")",2023-12-11,"Pritam, Arijit Singh, Irshad Kamil"
2025-03-30T03:19:52Z,1LmN9SSHISbtp9LoaR5ZVJ,Payphone,Overexposed,2021-06-20,"Maroon 5, Wiz Khalifa"
2025-03-29T23:09:08Z,52gvlDnre9craz9dKGObp8,La La La,La La La,2013-01-01,"Naughty Boy, Sam Smith"
2025-03-29T23:05:19Z,2mdwuBtT1alepau9g6GwnC,O Beliya,Out of Control,2024-10-18,Darshan Raval
2025-03-26T20:43:54Z,4XTgFBxBHN6var1BzAgE1m,Jhol,Jhol,2024-06-14,"Maanu, Annural Khalid"
2025-03-24T18:36:48Z,4oHQ8n9OKQ3599e8noCrDX,I Think They Call This Love,I Think They Call This Love,2024-07-17,Elliot James Reay
2025-03-24T18:36:38Z,0O84iaC2acwIjeopsFIS6w,"Tenu Sang Rakhna (From ""Jigra"")","Tenu Sang Rakhna (From ""Jigra"")",2024-10-03,"Achint, Arijit Singh, Anumita Nadesan, Varun Grover"
2025-03-21T06:52:28Z,0Kd2IhGYGYrOATgOOnDBzI,Kuch To Hua Hai,Kal Ho Naa Ho (Original Motion Picture Soundtrack),2003-09-20,"Shankar-Ehsaan-Loy, Alka Yagnik, Shaan"
2025-03-21T05:24:30Z,55fSZWdcvMPJga3LbiV8jN,Noor E Khuda,My Name Is Khan (Original Motion Picture Soundtrack),2010-01-05,"Shankar-Ehsaan-Loy, Adnan Sami, Shankar Mahadevan, Shreya Ghoshal"
2025-03-16T07:57:36Z,5SWnsxjhdcEDc7LJjq9UHk,Runnin,SAVAGE MODE II,2020-10-02,"21 Savage, Metro Boomin"
2025-03-16T07:57:32Z,3OxL6MuctgZp1e0zxoAZhH,Young Metro,WE DON'T TRUST YOU,2024-03-22,"Future, Metro Boomin, The Weeknd"
2025-03-12T23:20:16Z,0EVu5oKg2UOwOyV0cMlTST,"Kuchh Khaas (From ""Fashion"")",Mohit Chauhan's Greatest Hits,2025-03-10,"Mohit Chauhan, Neha Bhasin"
2025-03-12T23:08:42Z,2DUusIK6lzONv18y64xEDD,Panna Ki Tamanna Hai - New Age Mix,Panna Ki Tamanna Hai (New Age Mix),2024-10-15,"Lata Mangeshkar, Kishore Kumar, R. D. Burman, Anand Bakshi, Dixit Seth"
2025-03-11T17:28:07Z,1hlbywc8Jhl1FFqJxAMabE,Ishq,Lost;Found,2024-05-25,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
2025-03-11T17:23:48Z,7gl8XJ8EmiObfSFppTATt6,Twist,Love Aaj Kal (Original Motion Picture Soundtrack),2009-07-31,"Neeraj Shridhar, Pritam"
2025-03-10T08:44:29Z,2BpB7CCjoJfmPNncvxt3Ai,Mara Ghat Ma Birajta Shrinathji,Mara Ghat Ma Birajta Shrinathji,2020-08-13,Aishwarya Majmudar
2025-03-10T07:19:33Z,7cgj3hMlNQmgyg9qSxWipt,Chandaliyo Ugyo Re,Naadi Dosh (Original Motion Picture Soundtrack),2022-06-23,"Aishwarya Majmudar, Kedar - Bhargav"
