track_id,track_name,album,album_date,popularity,explicit,duration_ms,artists
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,HARDSTONE PSYCHO,2024-06-14,83,True,126986,Don Toliver
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,The Land Is Inhospitable and So Are We,2023-09-15,89,False,137773,Mitski
3xgA3KSsd8mt3UjQxNtQy3,Bajrang Baan-Lofi,Bajrang Baan-Lofi,2023-01-05,72,False,218009,Rasraj Ji Maharaj
6J4oLY2GEwOsUgEd50IpKy,Baarish Ka Asar,Baarish Ka Asar,2020-12-09,53,False,245500,Twin Strings
0Qa9pTZLUC95wJCHGYMIg4,Sajdaa,My Name Is Khan (Original Motion Picture Soundtrack [Deluxe Edition]),2010,66,False,365706,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma"
7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,Kalank (Original Motion Picture Soundtrack),2019-04-14,75,False,311186,"Pritam, Arijit Singh"
4nEgdjc0SAQif5zH2U5clo,Panna Ki Tamanna Hai - New Age Mix,Panna Ki Tamanna Hai - New Age Mix,2024-10-15,22,False,112695,"Dixit Seth, Lata Mangeshkar, Kishore Kumar"
6OTfUkn4BwQtSnWvwO9vyR,Sooiyan,Guddu Rangeela,2015-07-03,68,False,241102,"Amit Trivedi, Chinmayi, Arijit Singh"
0FDz52AydSbKmGO3k6EMiS,"Crazy Kiya Re (From ""Dhoom:2"")",30 Hits of Pritam,2023-06-13,53,False,294504,"Pritam, Sunidhi Chauhan, Sameer Anjaan"
1hlbywc8Jhl1FFqJxAMabE,Ishq,Lost;Found,2024-05-25,79,False,224842,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
6okl6K7GqLehjY1my9CmdQ,Vichudo,Vichudo,2024-09-13,47,False,182785,Kinjal Dave
2p8IUWQDrpjuFltbdgLOag,After Hours,After Hours,2020-03-20,83,False,361026,The Weeknd
5Y6nVaayzitvsD5F7nr3DV,West Coast,Ultraviolence (Deluxe),2014-01-01,85,False,256760,Lana Del Rey
1r27BKhp7yzevrOhHEncOk,Breathless Hanuman Chalisa,Breathless Hanuman Chalisa,2022-04-07,66,False,225199,Shankar Mahadevan
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),GNX,2024-11-21,94,False,177598,"Kendrick Lamar, SZA"
7KmCQLSSde0UX5OqCgvGN9,ANTIDOTE,Four Me,2024-06-26,73,False,187332,Karan Aujla
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,2018-08-03,85,True,312820,Travis Scott
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Lover,2019-08-23,79,False,222400,Taylor Swift
0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,Jo Tum Mere Ho,2024-08-02,84,False,251813,Anuv Jain
3dnWilTmmUPaIokFfaSoT3,"Ishq Mein - From ""Nadaaniyan""",Nadaaniyan (Original Motion Picture Soundtrack),2025-03-03,61,False,262736,"Sachin-Jigar, Sachet Tandon, Asees Kaur, Amitabh Bhattacharya"
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,Aashiqui 2,2013-04-06,80,False,261974,"Mithoon, Arijit Singh"
4rHZZAmHpZrA3iH5zx8frV,Mirrors,The 20/20 Experience (Deluxe Version),2013-03-15,85,False,484146,Justin Timberlake
5vPMSCWcc5niEpjhnhx35u,Intaha Ho Gai Intezar Ki,Bachchan Wala Love,2023-10-10,43,False,529635,"Kishore Kumar, Asha Bhosle"
1fkjRQA8wXPPyxqYLbxuqy,Ishq Bulaava,Hasee Toh Phasee (Original Motion Picture Soundtrack),2014-01-05,75,False,303640,"Vishal-Shekhar, Sanam Puri, Shipra Goyal"
1zzejMGRYKP5XOa3FmzXfa,"Katchi Sera - From ""Think Indie""","Katchi Sera (From ""Think Indie"")",2024-01-22,74,False,181818,Sai Abhyankkar
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,SAVAGE MODE II,2020-10-02,81,True,193591,"21 Savage, Metro Boomin"
1lUskB61Guv9LkWSV9ycWe,Sajan Bin,Bandish Bandits (Original Series Soundtrack),2020-07-27,53,False,194285,"Shankar-Ehsaan-Loy, Shivam Mahadevan, Jonita Gandhi"
5JVbvCHX10U2pLa5DEqGav,Safe and Sound,In A Tidal Wave of Mystery,2013-06-04,87,False,192789,Capital Cities
67oNO9GjcDn7NO08lg08jj,Tenu Sang Rakhna,Jigra,2024-10-15,68,False,249818,"Achint, Arijit Singh, Anumita Nadesan, Varun Grover"
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022-06-17,82,True,218364,"Drake, 21 Savage"
0EVu5oKg2UOwOyV0cMlTST,"Kuchh Khaas (From ""Fashion"")",Mohit Chauhan's Greatest Hits,2025-03-10,59,False,296890,"Mohit Chauhan, Neha Bhasin"
4odiyU3myG29Ld0wurMfE8,She Doesn't Mind,Tomahawk Technique,2012-01-24,78,False,227786,Sean Paul
5fBghXeYCGIEVuExKytoJ9,Fell For You,Sicario,2025-01-17,75,False,153466,Shubh
1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,Tanu Weds Manu,2011-02-02,64,False,264900,"Lehmber Hussainpuri, Raj Shekhar"
2nNaw1QUcqiEX6pBFxcpp3,Marjaani,Billu,2009-01-05,59,False,323941,"Pritam, Sukhwinder Singh, Sunidhi Chauhan, Gulzar"
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Flower Boy,2017-07-21,92,True,180386,"Tyler, The Creator, Kali Uchis"
1VZ4UzU6Zmg8ZAmcOcKNi3,Dhoop Ke Makaan,Break Ke Baad,2010-10-18,40,False,271560,"Vishal-Shekhar, Shekhar Ravjiani, Sunidhi Chauhan"
3lQPwCmD918SyoiIkw1zqx,Sifar Safar,Sifar Safar,2024-10-18,69,False,180344,Karan Aujla
2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,1983-02-01,73,False,236546,Toto Cutugno
6D8y7Bck8h11byRY88Pt2z,Houdini,Radical Optimism,2024-05-03,86,False,185917,Dua Lipa
2mdwuBtT1alepau9g6GwnC,O Beliya,Out of Control,2024-10-18,67,False,178000,Darshan Raval
71E5AhD1fWai0MpiTTHwtP,Bol Valam Na,Bol Valam Na,2020-04-04,43,False,151993,Ishani Dave
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,2024-08-15,87,True,178205,"Post Malone, Morgan Wallen"
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,MAYHEM,2025-03-07,91,False,251667,"Lady Gaga, Bruno Mars"
5duDIyneopwByLL0870i7c,"Chandaliyo Ugyo Re - From ""Naadi Dosh""","Chandaliyo Ugyo Re (From ""Naadi Dosh"")",2022-06-06,44,False,183750,"Aishwarya Majmudar, Kedar - Bhargav"
2BpB7CCjoJfmPNncvxt3Ai,Mara Ghat Ma Birajta Shrinathji,Mara Ghat Ma Birajta Shrinathji,2020-08-13,33,False,410145,Aishwarya Majmudar
432leZkBmxF6si4ftPOOdn,Ghar More Pardesiya (Kalank),Kalank (Original Motion Picture Soundtrack),2019-04-14,61,False,319635,"Pritam, Shreya Ghoshal"
5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,75,False,281856,"Atif Aslam, Jyotica Tangri"
5yYgGkyYJmmSwRp3caFplJ,Radha,Jab Harry Met Sejal (Original Motion Picture Soundtrack),2017-08-03,54,False,301889,"Pritam, Shahid Mallya, Sunidhi Chauhan"
02zPo0Dt0R4TTFY5zLJZnK,Neele Neele Ambar Par - Male Version,Kalaakaar (Original Motion Picture Soundtrack),1983-06-10,69,False,320000,"Kalyanji-Anandji, Kishore Kumar"
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,HARDSTONE PSYCHO,2024-06-14,83,True,126986,Don Toliver
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,The Land Is Inhospitable and So Are We,2023-09-15,89,False,137773,Mitski
3xgA3KSsd8mt3UjQxNtQy3,Bajrang Baan-Lofi,Bajrang Baan-Lofi,2023-01-05,72,False,218009,Rasraj Ji Maharaj
6J4oLY2GEwOsUgEd50IpKy,Baarish Ka Asar,Baarish Ka Asar,2020-12-09,53,False,245500,Twin Strings
0Qa9pTZLUC95wJCHGYMIg4,Sajdaa,My Name Is Khan (Original Motion Picture Soundtrack [Deluxe Edition]),2010,66,False,365706,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma"
4nEgdjc0SAQif5zH2U5clo,Panna Ki Tamanna Hai - New Age Mix,Panna Ki Tamanna Hai - New Age Mix,2024-10-15,21,False,112695,"Dixit Seth, Lata Mangeshkar, Kishore Kumar"
6OTfUkn4BwQtSnWvwO9vyR,Sooiyan,Guddu Rangeela,2015-07-03,68,False,241102,"Amit Trivedi, Chinmayi, Arijit Singh"
0FDz52AydSbKmGO3k6EMiS,"Crazy Kiya Re (From ""Dhoom:2"")",30 Hits of Pritam,2023-06-13,53,False,294504,"Pritam, Sunidhi Chauhan, Sameer Anjaan"
1hlbywc8Jhl1FFqJxAMabE,Ishq,Lost;Found,2024-05-25,79,False,224842,"Faheem Abdullah, Rauhan Malik, Amir Ameer"
6okl6K7GqLehjY1my9CmdQ,Vichudo,Vichudo,2024-09-13,47,False,182785,Kinjal Dave
5Y6nVaayzitvsD5F7nr3DV,West Coast,Ultraviolence (Deluxe),2014-01-01,85,False,256760,Lana Del Rey
1r27BKhp7yzevrOhHEncOk,Breathless Hanuman Chalisa,Breathless Hanuman Chalisa,2022-04-07,66,False,225199,Shankar Mahadevan
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),GNX,2024-11-21,94,False,177598,"Kendrick Lamar, SZA"
7KmCQLSSde0UX5OqCgvGN9,ANTIDOTE,Four Me,2024-06-26,73,False,187332,Karan Aujla
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,2018-08-03,85,True,312820,Travis Scott
7G5wpuR61ABrT7R1snos7C,Kalank - Title Track,Kalank (Original Motion Picture Soundtrack),2019-04-14,75,False,311186,"Pritam, Arijit Singh"
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Lover,2019-08-23,79,False,222400,Taylor Swift
